customer_id,value
C32868,229.756518
C32877,132.5684618
C33021,136.1693356
C33024,360.5250909
C33534,259.3689666
C33549,295.4961538
C33839,181.7843513
C34080,135.5297067
C34158,134.9966826
C34243,606.0746706
C34288,185.9300941
C34478,159.2729679
C34514,159.2196655
C34778,182.3588328
C34923,230.3428445
C35168,311.486876
C35509,218.4919426
C35580,147.4279885
C35604,143.8804172
C35616,138.4909515
C35627,443.3807219
C35893,152.645702
C35899,406.2467114
C35993,129.5479921
C36025,141.3159791
C36111,200.6770935
C36272,146.841662
C36274,288.9814151
C36296,536.4822602
C36408,141.4521964
C36471,200.6770935
C36518,183.3478886
C36834,212.4036232
C36939,141.4521964
C37123,144.7687906
C37130,278.499126
C37210,171.064645
C37211,165.1954577
C37567,259.9612155
C37673,194.8138287
C37824,185.9300941
C38000,129.6664419
C38163,176.5261314
C38250,132.5684618
C38252,229.756518
C38361,206.6588081
C38511,135.5830091
C38543,242.270464
C38707,141.4521964
C38770,129.6664419
C38822,221.2176686
C38946,200.1440694
C39116,287.7376923
C39312,141.4521964
C39332,146.841662
C39371,360.6376182
C39439,271.213946
C39464,141.4936538
C39527,200.4512805
C39635,138.5501764
C39701,138.4909515
C39971,140.2676985
C40032,170.9461952
C40177,176.4541106
C40209,182.9629268
C40355,140.3210009
C40531,213.1735468
C40619,171.1238699
C40637,139.7287519
C40685,136.7734295
C40777,260.3757898
C40928,159.2788904
C40952,173.4928657
C41109,154.6744691
C41268,147.3746861
C41505,139.6991394
C41537,159.8711394
C41611,178.0705968
C41628,212.4036232
C41640,526.4673301
C41922,138.5442539
C41950,182.3766003
C42083,168.162625
C42209,177.0404371
C42955,264.6932848
C42963,201.8023666
C42993,214.8259214
C43030,408.4617226
C43144,334.5091334
C43772,153.2971758
C43773,206.5995832
C43837,170.5316209
C44116,152.7641517
C44165,129.607217
C45317,164.6091312
C45364,135.5830091
C45555,570.293754
C45683,165.2013801
C45779,194.8079062
C45877,229.756518
C45883,150.3951559
C45913,147.433911
C45968,248.1162361
C46189,178.089413
C46379,176.9871347
C46399,161.0556373
C46477,647.8783692
C46549,154.8370231
C46936,335.7690839
C46960,205.4743102
C46990,283.0589254
C47069,479.03411
C47089,319.1268878
C47436,140.3269234
C47441,141.5054988
C47892,147.3746861
C47946,147.3746861
C48012,129.6545969
C48118,242.0844852
C48408,129.5479921
C48528,140.2676985
C48566,230.2895421
C48780,283.0589254
C48942,141.4521964
C49018,147.3746861
C49111,134.9966826
C49283,155.7903416
C49362,131.0878394
C49408,142.1036703
C49568,218.4978651
C49658,135.5297067
C49754,206.5995832
C49831,141.3337466
C49878,140.9191723
C49923,129.6605194
